#buildingId(key)	heatingNeeds(Wh)	coolingNeeds(Wh)
9(2039711):	9.79697e+07	-3.29725e+06
20(1013154):	4.72639e+07	-1.34815e+08
36(1013149):	2.40553e+08	-5.80417e+06
37(2037939):	6.78031e+07	-1.34999e+07
89(1012992):	7.91351e+07	-6.43307e+06
125(1013059):	5.87121e+07	-2.1686e+07
126(1013047):	1.60947e+08	-3.01559e+06
139(295099614):	3.43872e+06	-323974
162(2037201):	3.74902e+08	-1.30862e+07
164(295095039):	8.39677e+06	-159325
194(1013163):	5.56898e+07	-1.30375e+07
195(1013056):	6.39062e+07	-5.63028e+06
227(1012869):	1.33395e+08	-1.84021e+07
238(2039523):	2.26639e+08	-9.11559e+07
315(1013157):	5.44606e+07	-1.46597e+07
334(1013051):	1.04338e+08	-3.43089e+06
342(295095553):	909100	-6957.27
361(1013117):	1.3943e+08	-4.21339e+06
374(295081219):	2.80506e+07	-990286
409(1013086):	4.02626e+07	-1.77849e+07
416(1013135):	6.00703e+07	-7.67439e+06
573(1013284):	8.02031e+07	-1.92404e+06
616(2039258):	1.17667e+08	-2.87768e+07
617(295101591):	7.93711e+07	-829853
619(295095828):	4.55843e+06	-5935.78
646(2038232):	1.10996e+09	-8.65763e+07
650(190044370):	8.16825e+07	-7.58464e+06
652(1012958):	2.64851e+08	-1.24823e+07
657(295094850):	9.59909e+07	-963473
690(295102954):	1.61701e+06	-8424.15
696(1013194):	7.15713e+07	-3.54147e+07
697(295104631):	1.13105e+08	-2.05135e+06
700(295101810):	1.90559e+07	-1.28366e+06
701(1013192):	9.4095e+07	-2.41332e+07
703(2038847):	1.14233e+08	-3.04996e+06
713(1013119):	1.40125e+08	-4.21025e+06
719(1012966):	1.03538e+08	-1.46455e+06
720(295081610):	1.68077e+07	-1.80809e+07
723(295080446):	1.14102e+09	-5.30431e+07
725(1013202):	6.30163e+07	-1.00991e+07
727(1012891):	5.5594e+07	-2.21443e+07
729(1013251):	6.65741e+07	-9.79722e+06
732(1013007):	6.37144e+07	-6.04208e+06
733(295081232):	3.34506e+07	-1.68982e+06
735(1013008):	5.65713e+07	-7.64937e+06
737(1013106):	9.47692e+07	-7.14839e+06
739(295096701):	1.90909e+07	-2.09712e+06
742(295157033):	1.94893e+06	-193404
773(295094578):	2.3837e+07	-2.59585e+06
777(295081375):	2.14149e+07	-2.05125e+06
779(1012920):	7.70335e+07	-7.99206e+06
780(1013209):	4.27237e+07	-9.37389e+06
787(295103533):	1.16252e+07	-58579.5
945(1013248):	2.83462e+08	-1.04902e+07
967(2037444):	8.85041e+07	-4.17549e+06
968(1013185):	1.1444e+08	-2.54196e+07
977(1013227):	1.0606e+08	-8.76899e+06
981(295111384):	9.79481e+07	-1.04975e+07
988(295095554):	1.35269e+06	-10441.8
989(295511883):	2.36441e+06	-187628
997(295081608):	5.97717e+07	-7.61373e+06
1005(1013084):	1.08686e+08	-2.15753e+07
1009(1013005):	1.10256e+08	-9.09999e+06
1033(1013260):	7.97444e+07	-6.27909e+06
1059(295080439):	4.35206e+07	-1.72914e+06
1323(295087874):	7.07125e+06	-127834
1390(1013200):	4.72649e+07	-7.63898e+06
1435(1013242):	2.33333e+08	-5.47021e+07
1468(1013292):	1.40983e+08	-1.32569e+07
1474(2037447):	1.12623e+08	-3.8661e+06
1476(1013189):	1.1e+08	-2.26382e+07
1479(1012941):	1.02159e+08	-2.93719e+06
1481(1013082):	7.72496e+07	-3.00121e+07
1482(1012902):	9.53632e+07	-9.28443e+06
1483(295094776):	3.30094e+08	-2.9169e+06
1487(2038626):	1.53365e+08	-9.2583e+06
1489(1013093):	8.00935e+07	-2.47463e+06
1491(295081244):	1.19457e+07	-649758
1495(1012922):	5.29574e+07	-2.83394e+07
1496(1013231):	9.1598e+07	-1.7816e+07
1497(1013003):	1.13473e+08	-1.13875e+07
1498(1013068):	1.06132e+08	-8.19388e+06
1499(1013130):	1.32811e+08	-3.50225e+06
1505(295080452):	4.96429e+06	-578990
1507(1013049):	6.44241e+07	-1.30094e+06
1509(295101767):	2.21962e+07	-753440
1515(295081202):	1.42187e+06	-139852
1518(295094840):	1.37489e+08	-5.81593e+06
1542(1013032):	4.94404e+07	-1.01665e+07
1549(1013290):	8.13988e+07	-2.16044e+06
1550(295030332):	1.60605e+07	-274233
1553(1012909):	7.61144e+07	-3.78533e+06
1562(295101583):	7.18554e+06	-2.65491e+06
1563(295095544):	3.17558e+06	-570790
1566(295101804):	2.85175e+07	-2.67283e+06
1567(295081614):	9.57827e+06	-269382
1575(295081204):	5.03635e+06	-272909
1606(295127870):	1.5187e+08	-5.44139e+06
1654(295081783):	1.39238e+08	-4.34787e+07
1706(295094770):	4.19393e+06	-116091
1722(295075088):	1.86779e+06	-693464
1730(1013148):	1.27195e+08	-1.66674e+07
1732(1013132):	1.90405e+08	-5.10863e+06
1734(2038841):	1.45245e+08	-8.56523e+06
1736(2037107):	6.48438e+07	-1.88717e+08
1737(1013255):	1.04935e+09	-3.19072e+07
1741(1012880):	6.48254e+07	-5.39589e+06
1745(295101565):	6.12091e+07	-547045
1747(1013113):	1.00196e+08	-2.35698e+06
1754(295080441):	2.9084e+07	-3.84708e+06
1762(295094839):	2.12097e+07	-2.52505e+06
1764(295094560):	2.41123e+07	-2.47743e+06
1773(1013246):	1.07953e+08	-1.56167e+07
1774(295081589):	9.8667e+07	-2.20648e+06
1776(1012956):	1.7468e+08	-5.19176e+06
1777(295087875):	5.42825e+07	-480282
1810(295095807):	9.21234e+07	-1.09844e+07
2011(2039730):	3.55372e+07	-2.4546e+07
2243(295101570):	2.18406e+08	-4.46737e+06
2245(1012947):	2.38182e+08	-5.07657e+06
2247(2039722):	2.14606e+08	-6.03306e+06
2248(295095861):	4.06152e+08	-1.3243e+07
2249(295172940):	3.52779e+08	-7.88532e+06
2252(295080460):	8.83638e+07	-2.61861e+06
2300(1013195):	7.35521e+07	-3.31099e+07
2312(1012878):	8.07139e+07	-8.47397e+06
2317(1012965):	1.66221e+08	-6.60532e+06
2324(295112736):	3.67385e+08	-2.57462e+07
2331(1013085):	6.87883e+07	-1.78348e+07
2332(2037813):	5.06056e+07	-3.67456e+06
2333(1013013):	7.94602e+07	-9.73709e+06
2334(295080714):	8.55654e+07	-1.5327e+06
2341(1012864):	7.43845e+07	-5.50385e+06
2342(295096297):	1.7612e+07	-249319
2350(2039332):	1.28448e+08	-3.54955e+07
2373(1013028):	7.79005e+07	-2.15288e+06
2378(1013196):	5.09875e+07	-5.14008e+06
2386(295081281):	7.75405e+06	-135443
2397(295095545):	1.64628e+07	-87430.6
2479(295516185):	8.23945e+06	-502246
2489(295097005):	2.53648e+08	-8.14549e+06
2577(2037214):	1.03984e+08	-2.36042e+06
2578(1013150):	1.95678e+08	-4.55497e+06
2581(2037885):	2.42159e+07	-1.16951e+06
2583(1012883):	5.52038e+07	-1.13127e+07
2584(295081609):	1.77269e+08	-8.64766e+07
2589(295087680):	4.33435e+06	-69242.3
2591(295097162):	4.3825e+07	-316186
2599(295103582):	2.54835e+07	-1.02142e+06
2615(295081242):	5.91872e+06	-146496
2621(1013071):	1.48302e+08	-4.46893e+06
2623(1012942):	7.5114e+07	-6.07381e+06
2625(1013276):	1.28142e+08	-1.76195e+06
2638(1013137):	1.13848e+08	-3.02905e+06
2645(1013226):	9.92721e+07	-9.04871e+06
2914(295140566):	3.25327e+08	-1.11695e+07
2916(2037881):	5.29842e+08	-1.11794e+07
3084(1012948):	2.23278e+08	-7.54349e+06
3096(2036983):	1.8222e+09	-5.23242e+07
3152(1013012):	1.12981e+08	-2.37811e+07
3156(1013052):	1.99845e+08	-4.71541e+06
3157(2038198):	1.31791e+08	-2.68897e+06
3158(1013177):	1.95219e+08	-6.28539e+06
3162(1013201):	7.24866e+07	-2.72707e+07
3165(295097161):	1.28329e+06	-23712.4
3166(1013098):	8.07431e+07	-2.53445e+06
3168(295101805):	1.50646e+07	-1.33575e+06
3169(1012875):	1.05892e+08	-2.30679e+06
3176(1013083):	7.72686e+07	-2.91861e+07
3177(1012900):	7.12036e+07	-2.05564e+07
3189(1012857):	4.90736e+07	-2.57177e+06
3190(1013114):	7.07628e+07	-8.69921e+06
3201(1012967):	5.68979e+07	-558325
3202(2037120):	4.48435e+07	-2.16655e+06
3239(1013210):	6.59919e+07	-4.93685e+06
3240(1013143):	1.00349e+08	-1.67946e+06
3241(1013266):	1.06497e+08	-2.09499e+06
3243(295112641):	1.06619e+08	-6.81053e+06
3247(2038490):	4.22468e+07	-1.45923e+06
3251(2037077):	1.30194e+07	-104224
3262(295101786):	9.67858e+06	-337394
3265(295138605):	1.25528e+07	-71853.7
3278(295081203):	3.76161e+06	-289155
3423(1013279):	1.73325e+08	-3.63184e+06
3428(295081847):	1.58481e+08	-3.3124e+06
3429(2039731):	3.44428e+08	-1.68151e+07
3430(2037441):	2.9595e+07	-1.54604e+08
3452(1013142):	8.21829e+07	-6.27135e+06
3464(1013166):	4.89855e+07	-1.27207e+08
3468(1013273):	8.63567e+08	-5.47439e+07
3473(1013250):	5.96475e+07	-9.40595e+06
3474(1013235):	5.51517e+07	-1.69613e+07
3480(295094876):	2.27569e+06	-32951.2
3488(1013293):	7.84862e+07	-3.28334e+06
3490(1013145):	7.18435e+07	-2.76895e+06
3492(1013249):	6.34173e+07	-1.38995e+06
3513(1013213):	1.25783e+08	-2.77986e+06
3514(1012917):	6.93792e+07	-9.70089e+06
3519(1012873):	6.35493e+07	-9.90356e+06
3530(1013169):	7.48843e+07	-1.24312e+07
3531(1013136):	1.09234e+08	-3.6108e+06
3532(1013217):	1.29647e+08	-3.45969e+06
3621(2039529):	9.95852e+07	-2.96566e+07
3677(295127869):	1.37922e+07	-463797
3791(9006891):	5.33952e+09	-1.14305e+08
3860(295143991):	1.15474e+08	-2.86927e+06
3911(1012866):	1.18018e+08	-1.78397e+07
3924(295172941):	2.26024e+08	-5.75964e+06
3961(2039264):	8.02555e+07	-4.6167e+06
3977(2037817):	7.51827e+07	-27919.9
3980(295097773):	3.5074e+08	-1.75827e+07
3984(2037956):	3.07119e+08	-7.93788e+06
3985(295079724):	2.27557e+07	-180682
3988(2037443):	1.44261e+08	-7.0155e+06
4025(295080448):	3.533e+06	-415073
4033(295101571):	4.15033e+07	-88934.1
4041(1013122):	2.15786e+08	-5.67246e+06
4043(1013147):	1.08226e+08	-1.27298e+07
4044(2037206):	1.44969e+08	-4.49806e+06
4049(1013178):	1.00692e+08	-1.35364e+07
4051(1013115):	1.15204e+08	-7.09641e+06
4053(1013294):	6.89932e+07	-6.85298e+06
4054(1013112):	1.21319e+08	-2.75498e+06
4058(1013011):	8.48633e+07	-4.31352e+06
4061(1012988):	7.93084e+07	-6.20098e+06
4071(295076509):	7.76402e+06	-511898
4073(1013029):	4.75593e+07	-5.7742e+06
4083(295129186):	1.24349e+07	-5356.22
4084(295075801):	2.53731e+07	-509482
4087(295094561):	2.41202e+07	-2.56698e+06
4096(1013274):	7.57982e+07	-5.30843e+06
4097(1013275):	8.71396e+07	-1.54617e+06
4099(1013022):	8.77074e+07	-2.25327e+06
4102(1013027):	8.23185e+07	-2.1162e+06
4132(295094778):	2.89388e+06	-283628
4141(1013236):	9.39852e+07	-2.33313e+07
4148(1013138):	1.07576e+08	-8.95411e+06
4171(1013063):	6.43238e+07	-5.93612e+06
4253(295081611):	1.87141e+07	-8.87175e+06
4261(295094775):	3.03842e+06	-294028
4303(1012975):	1.66356e+08	-9.01449e+06
4305(1012921):	7.34425e+07	-5.74978e+07
4308(1013254):	2.37731e+08	-8.28867e+06
4323(295010322):	7.07941e+07	-1.45808e+07
4328(1013123):	1.48249e+08	-2.9877e+06
4329(9006922):	1.69209e+08	-4.97698e+06
4331(1013074):	1.19716e+08	-9.92339e+06
4336(1013009):	1.6563e+08	-3.70614e+06
4343(1013158):	1.27616e+08	-6.50072e+06
4345(1013133):	8.36183e+07	-6.45503e+06
4346(1013199):	8.38727e+07	-7.90743e+06
4349(1013057):	5.50767e+07	-4.9816e+06
4350(295079723):	1.51823e+06	-203495
4381(295079710):	4.58432e+07	-2.80331e+06
4398(2038110):	9.45914e+07	-3.4107e+06
4402(1013026):	6.58279e+07	-8.24259e+06
4417(295079699):	8.10422e+07	-4.50682e+06
4612(1013069):	7.7281e+07	-9.40863e+06
4620(1012852):	7.35027e+07	-5.89201e+06
4783(295097740):	7.87352e+07	-826527
4793(1012898):	1.52463e+08	-1.44468e+07
4796(295096992):	6.14815e+07	-2.82053e+06
4799(295097163):	1.79756e+06	-36969.2
4822(1013153):	5.82894e+08	-1.42299e+07
4823(295040271):	1.28121e+08	-1.64425e+07
4824(295079722):	2.31409e+08	-3.2194e+06
4826(295081225):	3.60556e+08	-1.36677e+07
4827(2039329):	2.50097e+08	-1.77423e+07
4828(2038202):	2.96969e+08	-2.872e+07
4865(1013174):	4.04971e+07	-1.91926e+07
4867(1013186):	1.11365e+08	-2.21553e+07
4868(1012945):	4.64031e+07	-2.23253e+06
4875(1013277):	1.3352e+08	-3.00657e+06
4879(2037284):	1.11214e+08	-6.09072e+06
4881(1013120):	2.0835e+08	-6.26713e+06
4882(1013134):	1.45674e+08	-3.41972e+06
4885(1013102):	8.88542e+07	-1.51071e+07
4886(1013088):	7.38521e+07	-1.01169e+07
4887(1012957):	1.19467e+08	-7.23666e+06
4892(1013197):	9.45628e+07	-1.2254e+07
4895(2039265):	5.81758e+07	-3.84698e+06
4896(1012934):	7.71062e+07	-1.8491e+06
4897(1013261):	1.15224e+08	-8.47084e+06
4900(1013067):	8.27051e+07	-5.6823e+06
4913(1013014):	7.31186e+07	-1.44034e+06
4916(295080435):	4.31665e+07	-513952
4946(1013288):	9.36134e+07	-1.09892e+07
4947(1012990):	6.28143e+07	-9.54549e+06
4948(1013023):	8.39692e+07	-2.7886e+06
4949(1013206):	1.13252e+08	-2.95422e+06
4971(295163340):	4.0257e+06	-161325
5000(1013021):	1.45704e+08	-4.11482e+06
5085(295094636):	4.82176e+08	-1.16882e+07
5089(295096278):	1.04765e+06	-124896
5131(2039881):	1.52987e+08	-5.30775e+06
5153(295010320):	5.66433e+07	-1.81573e+06
5158(1013095):	1.28143e+08	-2.65059e+06
5167(295081220):	3.09431e+06	-204463
5171(1012949):	3.68787e+08	-1.84245e+07
5173(1013220):	1.07611e+08	-1.08323e+07
5174(295081265):	9.23095e+07	-4.43869e+06
5193(1013205):	7.20812e+07	-3.08034e+06
5195(1013075):	5.52171e+07	-1.87198e+06
5198(1013000):	7.21079e+07	-1.82291e+06
5245(1013160):	5.60728e+07	-1.26913e+07
5518(295081218):	4.67922e+07	-1.50995e+06
5521(1012986):	1.25462e+08	-6.71323e+06
5570(3131676):	1.25529e+08	-4.60486e+06
5735(1013081):	1.90692e+08	-6.98399e+06
5752(9082278):	5.1924e+08	-2.30162e+07
5755(1013271):	2.41213e+08	-4.09335e+06
5767(2038396):	2.16549e+08	-1.19247e+07
5769(2037962):	2.3065e+08	-7.51813e+06
5795(1012853):	7.2608e+07	-6.04876e+06
5809(1012927):	1.36689e+08	-2.22459e+07
5810(1012980):	1.41607e+08	-7.16748e+06
5811(1012930):	1.07033e+08	-1.95966e+07
5817(1012983):	9.82823e+07	-7.78336e+06
5818(1012860):	7.54215e+07	-2.13017e+06
5819(1013184):	1.02521e+08	-3.05312e+07
5820(1013001):	9.16263e+07	-1.43256e+07
5823(1012989):	6.42938e+07	-7.27425e+06
5827(1012963):	4.80639e+07	-9.03109e+06
5828(1013233):	8.16895e+07	-1.78243e+07
5834(1013289):	1.30712e+08	-2.18058e+06
5835(1012893):	6.21336e+07	-1.49724e+07
5837(2039251):	7.95581e+07	-1.09434e+06
5848(295094844):	2.19107e+07	-909303
5854(295096290):	1.33307e+06	-282617
5855(295095860):	654788	-120440
5859(1013018):	9.63025e+07	-3.89575e+06
5860(295101766):	1.02114e+07	-591490
5861(295087279):	1.67217e+07	-296784
5863(295087865):	1.7887e+07	-867297
5873(2037218):	2.01513e+07	-3.76449e+06
5883(295080436):	7.65244e+06	-110.499
5884(295101582):	8.42526e+06	-163807
5891(295096282):	1.08467e+06	-99081.8
5896(295102970):	6.76277e+07	-792394
5909(295116927):	3.93417e+07	-7.72278e+06
