EGID,heatingNeeds(Wh),coolingNeeds(Wh),GBAUP,GASTW,GAREA,GKLAS
2039711,97969700.0,-3297250.0,8015.0,2.0,430.0,1272.0
1013154,47263900.0,-134815000.0,8014.0,13.0,327.0,1122.0
1013149,240553000.0,-5804170.0,8011.0,6.0,422.0,1122.0
2037939,67803100.0,-13499900.0,8018.0,6.0,411.0,1130.0
1012992,79135100.0,-6433070.0,8011.0,6.0,236.0,1122.0
1013059,58712100.0,-21686000.0,8013.0,8.0,310.0,1122.0
1013047,160947000.0,-3015590.0,8011.0,6.0,264.0,1122.0
295099614,3438720.0,-323974.0,,,,
2037201,374902000.0,-13086200.0,8011.0,3.0,861.0,1230.0
295095039,8396770.0,-159325.0,8013.0,1.0,72.0,1251.0
1013163,55689800.0,-13037500.0,8014.0,7.0,246.0,1122.0
1013056,63906200.0,-5630280.0,8013.0,5.0,245.0,1122.0
1012869,133395000.0,-18402100.0,8011.0,7.0,351.0,1122.0
2039523,226639000.0,-91155900.0,8011.0,3.0,1662.0,1251.0
1013157,54460600.0,-14659700.0,8014.0,7.0,247.0,1122.0
1013051,104338000.0,-3430890.0,8016.0,7.0,340.0,1122.0
295095553,909100.0,-6957.27,,,,
1013117,139430000.0,-4213390.0,8011.0,6.0,264.0,1122.0
295081219,28050600.0,-990286.0,8017.0,2.0,319.0,1220.0
1013086,40262600.0,-17784900.0,8014.0,8.0,243.0,1122.0
1013135,60070300.0,-7674390.0,8013.0,6.0,198.0,1122.0
1013284,80203100.0,-1924040.0,8011.0,6.0,165.0,1122.0
2039258,117667000.0,-28776800.0,8013.0,4.0,430.0,1251.0
295101591,79371100.0,-829853.0,8014.0,1.0,428.0,1242.0
295095828,4558430.0,-5935.78,,,,
2038232,1109960000.0,-86576300.0,8016.0,9.0,3591.0,1220.0
190044370,81682500.0,-7584640.0,8014.0,4.0,552.0,1263.0
1012958,264851000.0,-12482300.0,8011.0,4.0,530.0,1211.0
295094850,95990900.0,-963473.0,,,,
295102954,1617010.0,-8424.15,,,,
1013194,71571300.0,-35414700.0,8014.0,8.0,411.0,1122.0
295104631,113105000.0,-2051350.0,8016.0,2.0,374.0,1265.0
295101810,19055900.0,-1283660.0,,,,
1013192,94095000.0,-24133200.0,8014.0,8.0,317.0,1122.0
2038847,114233000.0,-3049960.0,8021.0,6.0,363.0,1122.0
1013119,140125000.0,-4210250.0,8015.0,7.0,285.0,1122.0
1012966,103538000.0,-1464550.0,8011.0,5.0,216.0,1122.0
295081610,16807700.0,-18080900.0,,,,
295080446,1141020000.0,-53043100.0,8014.0,6.0,2627.0,1251.0
1013202,63016300.0,-10099100.0,8012.0,7.0,215.0,1122.0
1012891,55594000.0,-22144300.0,8012.0,8.0,236.0,1122.0
1013251,66574100.0,-9797220.0,8012.0,7.0,199.0,1122.0
1013007,63714400.0,-6042080.0,8011.0,7.0,202.0,1122.0
295081232,33450600.0,-1689820.0,8017.0,2.0,202.0,1274.0
1013008,56571300.0,-7649370.0,8013.0,7.0,202.0,1122.0
1013106,94769200.0,-7148390.0,8011.0,6.0,201.0,1122.0
295096701,19090900.0,-2097120.0,,,,
295157033,1948930.0,-193404.0,,,,
295094578,23837000.0,-2595850.0,,,,
295081375,21414900.0,-2051250.0,,,,
1012920,77033500.0,-7992060.0,8012.0,6.0,171.0,1122.0
1013209,42723700.0,-9373890.0,,8.0,169.0,1122.0
295103533,11625200.0,-58579.5,,,,
1013248,283462000.0,-10490200.0,8015.0,8.0,731.0,1130.0
2037444,88504100.0,-4175490.0,8018.0,9.0,330.0,1122.0
1013185,114440000.0,-25419600.0,8014.0,8.0,328.0,1122.0
1013227,106060000.0,-8768990.0,8011.0,6.0,255.0,1122.0
295111384,97948100.0,-10497500.0,8021.0,9.0,213.0,1122.0
295095554,1352690.0,-10441.8,,,,
295511883,2364410.0,-187628.0,,,,
295081608,59771700.0,-7613730.0,,,,
1013084,108686000.0,-21575300.0,8012.0,8.0,297.0,1122.0
1013005,110256000.0,-9099990.0,8011.0,6.0,290.0,1122.0
1013260,79744400.0,-6279090.0,8011.0,6.0,227.0,1122.0
295080439,43520600.0,-1729140.0,,,,
295087874,7071250.0,-127834.0,,,,
1013200,47264900.0,-7638980.0,8013.0,6.0,187.0,1122.0
1013242,233333000.0,-54702100.0,8013.0,8.0,590.0,1122.0
1013292,140983000.0,-13256900.0,8011.0,6.0,360.0,1122.0
2037447,112623000.0,-3866100.0,8018.0,9.0,371.0,1122.0
1013189,110000000.0,-22638200.0,8014.0,8.0,318.0,1122.0
1012941,102159000.0,-2937190.0,8019.0,6.0,301.0,1122.0
1013082,77249600.0,-30012100.0,8012.0,9.0,262.0,1122.0
1012902,95363200.0,-9284430.0,8011.0,6.0,253.0,1122.0
295094776,330094000.0,-2916900.0,8014.0,4.0,814.0,1252.0
2038626,153365000.0,-9258300.0,8014.0,7.0,297.0,1122.0
1013093,80093500.0,-2474630.0,8017.0,8.0,276.0,1122.0
295081244,11945700.0,-649758.0,,,,
1012922,52957400.0,-28339400.0,8015.0,9.0,246.0,1122.0
1013231,91598000.0,-17816000.0,8013.0,7.0,241.0,1122.0
1013003,113473000.0,-11387500.0,8011.0,7.0,240.0,1122.0
1013068,106132000.0,-8193880.0,8012.0,6.0,238.0,1122.0
1013130,132811000.0,-3502250.0,8011.0,6.0,257.0,1122.0
295080452,4964290.0,-578990.0,,,,
1013049,64424100.0,-1300940.0,8017.0,7.0,194.0,1122.0
295101767,22196200.0,-753440.0,,,,
295081202,1421870.0,-139852.0,,,,
295094840,137489000.0,-5815930.0,8012.0,3.0,389.0,1251.0
