timestamp,h,G_Dh,G_Bn,Ta,FF,DD
2017-01-01 00:00:00,1,0,0,9.5,2.1,218
2017-01-01 01:00:00,2,0,0,9.0,1.6,252
2017-01-01 02:00:00,3,0,0,8.5,1.2,249
2017-01-01 03:00:00,4,0,0,8.3,1.6,265
2017-01-01 04:00:00,5,0,0,8.0,1.6,263
2017-01-01 05:00:00,6,0,0,7.8,1.8,252
2017-01-01 06:00:00,7,0,0,7.6,1.4,276
2017-01-01 07:00:00,8,0,0,7.4,2.2,237
2017-01-01 08:00:00,9,5,0,7.6,1.8,214
2017-01-01 09:00:00,10,54,202,9.2,3.7,298
2017-01-01 10:00:00,11,114,117,10.5,3.0,95
2017-01-01 11:00:00,12,149,99,11.5,2.7,271
2017-01-01 12:00:00,13,157,64,12.1,3.2,235
2017-01-01 13:00:00,14,154,99,12.6,3.5,148
2017-01-01 14:00:00,15,129,89,12.7,3.0,100
2017-01-01 15:00:00,16,70,100,12.3,4.1,266
2017-01-01 16:00:00,17,4,0,11.3,3.0,36
2017-01-01 17:00:00,18,0,0,10.5,3.5,245
2017-01-01 18:00:00,19,0,0,9.8,2.7,97
2017-01-01 19:00:00,20,0,0,9.0,2.7,236
2017-01-01 20:00:00,21,0,0,8.2,2.7,249
2017-01-01 21:00:00,22,0,0,7.4,1.9,210
2017-01-01 22:00:00,23,0,0,6.6,1.3,265
2017-01-01 23:00:00,24,0,0,5.8,1.2,216
2017-01-02 00:00:00,1,0,0,4.9,1.3,247
2017-01-02 01:00:00,2,0,0,3.8,2.7,220
2017-01-02 02:00:00,3,0,0,2.8,3.9,235
2017-01-02 03:00:00,4,0,0,2.2,3.5,65
2017-01-02 04:00:00,5,0,0,1.6,4.1,97
2017-01-02 05:00:00,6,0,0,1.0,3.2,35
2017-01-02 06:00:00,7,0,0,0.6,3.9,142
2017-01-02 07:00:00,8,0,0,0.2,2.1,74
2017-01-02 08:00:00,9,6,0,0.2,2.6,219
2017-01-02 09:00:00,10,38,541,2.1,2.2,226
2017-01-02 10:00:00,11,44,736,4.0,2.6,192
2017-01-02 11:00:00,12,49,834,5.7,1.8,256
2017-01-02 12:00:00,13,51,860,6.9,2.7,266
2017-01-02 13:00:00,14,56,854,7.6,3.2,241
2017-01-02 14:00:00,15,46,786,7.7,2.2,150
2017-01-02 15:00:00,16,93,391,7.1,3.0,202
2017-01-02 16:00:00,17,20,0,5.6,2.2,246
2017-01-02 17:00:00,18,0,0,5.2,2.6,231
2017-01-02 18:00:00,19,0,0,4.8,1.6,242
2017-01-02 19:00:00,20,0,0,4.4,1.2,258
2017-01-02 20:00:00,21,0,0,4.0,0.8,243
2017-01-02 21:00:00,22,0,0,3.6,0.6,245
2017-01-02 22:00:00,23,0,0,3.2,0.4,222
2017-01-02 23:00:00,24,0,0,2.8,0.2,323
2017-01-03 00:00:00,1,0,0,2.8,0.2,299
2017-01-03 01:00:00,2,0,0,2.9,0.2,305
2017-01-03 02:00:00,3,0,0,2.9,0.3,302
2017-01-03 03:00:00,4,0,0,3.0,0.3,306
2017-01-03 04:00:00,5,0,0,3.0,0.3,309
2017-01-03 05:00:00,6,0,0,3.1,0.3,306
2017-01-03 06:00:00,7,0,0,3.1,0.4,308
2017-01-03 07:00:00,8,0,0,3.2,0.4,300
2017-01-03 08:00:00,9,2,0,3.3,0.6,306
2017-01-03 09:00:00,10,26,0,3.9,0.7,237
2017-01-03 10:00:00,11,56,0,4.6,1.3,238
2017-01-03 11:00:00,12,79,0,5.3,1.4,250
2017-01-03 12:00:00,13,87,0,5.7,1.9,270
2017-01-03 13:00:00,14,69,0,5.9,1.6,194
2017-01-03 14:00:00,15,61,0,6.0,0.9,280
2017-01-03 15:00:00,16,35,0,5.8,1.3,249
2017-01-03 16:00:00,17,6,0,5.5,2.6,277
2017-01-03 17:00:00,18,0,0,5.2,4.4,249
2017-01-03 18:00:00,19,0,0,4.7,4.1,30
2017-01-03 19:00:00,20,0,0,4.9,3.0,22
2017-01-03 20:00:00,21,0,0,4.6,3.0,194
2017-01-03 21:00:00,22,0,0,4.5,3.5,178
2017-01-03 22:00:00,23,0,0,4.3,3.2,85
2017-01-03 23:00:00,24,0,0,4.1,3.2,115
2017-01-04 00:00:00,1,0,0,3.8,3.0,98
2017-01-04 01:00:00,2,0,0,3.3,3.0,150
2017-01-04 02:00:00,3,0,0,3.1,3.7,167
2017-01-04 03:00:00,4,0,0,2.9,4.1,63
2017-01-04 04:00:00,5,0,0,2.7,5.3,32
2017-01-04 05:00:00,6,0,0,2.6,3.7,20
2017-01-04 06:00:00,7,0,0,2.4,2.4,78
2017-01-04 07:00:00,8,0,0,2.3,2.1,236
2017-01-04 08:00:00,9,2,0,2.3,2.1,228
2017-01-04 09:00:00,10,28,0,2.8,1.6,216
2017-01-04 10:00:00,11,50,0,3.1,1.8,274
2017-01-04 11:00:00,12,82,0,3.6,1.6,261
2017-01-04 12:00:00,13,92,0,3.9,2.4,262
2017-01-04 13:00:00,14,79,0,4.0,1.4,258
2017-01-04 14:00:00,15,89,0,4.2,1.1,257
2017-01-04 15:00:00,16,57,0,4.1,1.1,269
2017-01-04 16:00:00,17,7,0,3.8,1.2,267
2017-01-04 17:00:00,18,0,0,3.4,1.7,227
2017-01-04 18:00:00,19,0,0,3.1,1.8,265
2017-01-04 19:00:00,20,0,0,2.7,2.2,245
2017-01-04 20:00:00,21,0,0,2.4,1.4,214
2017-01-04 21:00:00,22,0,0,2.1,1.9,272
2017-01-04 22:00:00,23,0,0,1.7,1.8,232
2017-01-04 23:00:00,24,0,0,1.4,1.8,256
2017-01-05 00:00:00,1,0,0,1.1,3.2,244
2017-01-05 01:00:00,2,0,0,0.8,4.1,84
2017-01-05 02:00:00,3,0,0,0.5,3.2,7
2017-01-05 03:00:00,4,0,0,0.4,2.6,96
2017-01-05 04:00:00,5,0,0,0.3,4.1,240
2017-01-05 05:00:00,6,0,0,0.1,3.5,43
2017-01-05 06:00:00,7,0,0,0.0,4.1,100
2017-01-05 07:00:00,8,0,0,-0.1,2.7,46
2017-01-05 08:00:00,9,4,0,0.1,2.6,277
2017-01-05 09:00:00,10,62,142,1.7,2.1,235
2017-01-05 10:00:00,11,115,177,3.3,1.6,220
2017-01-05 11:00:00,12,120,321,4.8,1.6,245
2017-01-05 12:00:00,13,141,291,5.8,1.4,257
2017-01-05 13:00:00,14,132,293,6.4,2.2,264
2017-01-05 14:00:00,15,129,100,6.4,1.9,214
2017-01-05 15:00:00,16,73,60,5.8,1.9,228
2017-01-05 16:00:00,17,4,0,4.6,3.0,236
2017-01-05 17:00:00,18,0,0,4.3,3.7,191
